@babel/code-frame,7.8.3,MIT
@babel/compat-data,7.8.5,MIT
@babel/core,7.8.4,MIT
@babel/generator,7.8.4,MIT
@babel/helper-annotate-as-pure,7.8.3,MIT
@babel/helper-builder-binary-assignment-operator-visitor,7.8.3,MIT
@babel/helper-call-delegate,7.8.3,MIT
@babel/helper-compilation-targets,7.8.4,MIT
@babel/helper-create-class-features-plugin,7.8.3,MIT
@babel/helper-create-regexp-features-plugin,7.8.3,MIT
@babel/helper-define-map,7.8.3,MIT
@babel/helper-explode-assignable-expression,7.8.3,MIT
@babel/helper-function-name,7.8.3,MIT
@babel/helper-get-function-arity,7.8.3,MIT
@babel/helper-hoist-variables,7.8.3,MIT
@babel/helper-member-expression-to-functions,7.8.3,MIT
@babel/helper-module-imports,7.8.3,MIT
@babel/helper-module-transforms,7.8.3,MIT
@babel/helper-optimise-call-expression,7.8.3,MIT
@babel/helper-plugin-utils,7.8.3,MIT
@babel/helper-regex,7.8.3,MIT
@babel/helper-remap-async-to-generator,7.8.3,MIT
@babel/helper-replace-supers,7.8.3,MIT
@babel/helper-simple-access,7.8.3,MIT
@babel/helper-split-export-declaration,7.8.3,MIT
@babel/helper-wrap-function,7.8.3,MIT
@babel/helpers,7.8.4,MIT
@babel/highlight,7.8.3,MIT
@babel/parser,7.8.4,MIT
@babel/plugin-proposal-async-generator-functions,7.8.3,MIT
@babel/plugin-proposal-class-properties,7.8.3,MIT
@babel/plugin-proposal-dynamic-import,7.8.3,MIT
@babel/plugin-proposal-json-strings,7.8.3,MIT
@babel/plugin-proposal-nullish-coalescing-operator,7.8.3,MIT
@babel/plugin-proposal-object-rest-spread,7.8.3,MIT
@babel/plugin-proposal-optional-catch-binding,7.8.3,MIT
@babel/plugin-proposal-optional-chaining,7.8.3,MIT
@babel/plugin-proposal-private-methods,7.8.3,MIT
@babel/plugin-proposal-unicode-property-regex,7.8.3,MIT
@babel/plugin-syntax-async-generators,7.8.4,MIT
@babel/plugin-syntax-dynamic-import,7.8.3,MIT
@babel/plugin-syntax-import-meta,7.8.3,MIT
@babel/plugin-syntax-json-strings,7.8.3,MIT
@babel/plugin-syntax-nullish-coalescing-operator,7.8.3,MIT
@babel/plugin-syntax-object-rest-spread,7.8.3,MIT
@babel/plugin-syntax-optional-catch-binding,7.8.3,MIT
@babel/plugin-syntax-optional-chaining,7.8.3,MIT
@babel/plugin-syntax-top-level-await,7.8.3,MIT
@babel/plugin-transform-arrow-functions,7.8.3,MIT
@babel/plugin-transform-async-to-generator,7.8.3,MIT
@babel/plugin-transform-block-scoped-functions,7.8.3,MIT
@babel/plugin-transform-block-scoping,7.8.3,MIT
@babel/plugin-transform-classes,7.8.3,MIT
@babel/plugin-transform-computed-properties,7.8.3,MIT
@babel/plugin-transform-destructuring,7.8.3,MIT
@babel/plugin-transform-dotall-regex,7.8.3,MIT
@babel/plugin-transform-duplicate-keys,7.8.3,MIT
@babel/plugin-transform-exponentiation-operator,7.8.3,MIT
@babel/plugin-transform-for-of,7.8.4,MIT
@babel/plugin-transform-function-name,7.8.3,MIT
@babel/plugin-transform-literals,7.8.3,MIT
@babel/plugin-transform-member-expression-literals,7.8.3,MIT
@babel/plugin-transform-modules-amd,7.8.3,MIT
@babel/plugin-transform-modules-commonjs,7.8.3,MIT
@babel/plugin-transform-modules-systemjs,7.8.3,MIT
@babel/plugin-transform-modules-umd,7.8.3,MIT
@babel/plugin-transform-named-capturing-groups-regex,7.8.3,MIT
@babel/plugin-transform-new-target,7.8.3,MIT
@babel/plugin-transform-object-super,7.8.3,MIT
@babel/plugin-transform-parameters,7.8.4,MIT
@babel/plugin-transform-property-literals,7.8.3,MIT
@babel/plugin-transform-regenerator,7.8.3,MIT
@babel/plugin-transform-reserved-words,7.8.3,MIT
@babel/plugin-transform-shorthand-properties,7.8.3,MIT
@babel/plugin-transform-spread,7.8.3,MIT
@babel/plugin-transform-sticky-regex,7.8.3,MIT
@babel/plugin-transform-template-literals,7.8.3,MIT
@babel/plugin-transform-typeof-symbol,7.8.4,MIT
@babel/plugin-transform-unicode-regex,7.8.3,MIT
@babel/preset-env,7.8.4,MIT
@babel/standalone,7.8.3,MIT
@babel/template,7.8.3,MIT
@babel/traverse,7.8.4,MIT
@babel/types,7.8.3,MIT
@braintree/sanitize-url,3.1.0,MIT
@gitlab/at.js,1.5.5,MIT
@gitlab/svgs,1.113.0,MIT
@gitlab/ui,9.29.0,MIT
@gitlab/visual-review-tools,1.5.1,MIT
@gitlab/vue-toasted,1.3.0,MIT
@nuxt/opencollective,0.3.0,MIT
@sentry/browser,5.10.2,New BSD
@sentry/core,5.10.2,New BSD
@sentry/hub,5.10.2,New BSD
@sentry/minimal,5.10.2,New BSD
@sentry/types,5.10.0,New BSD
@sentry/utils,5.10.2,New BSD
@sourcegraph/code-host-integration,0.0.31,Apache 2.0
@types/anymatch,1.3.0,MIT
@types/node,10.12.9,MIT
@types/tapable,1.0.4,MIT
@types/uglify-js,3.0.4,MIT
@types/webpack,4.4.23,MIT
@types/zen-observable,0.8.0,MIT
@vue/component-compiler-utils,3.1.1,MIT
@webassemblyjs/ast,1.8.5,MIT
@webassemblyjs/floating-point-hex-parser,1.8.5,MIT
@webassemblyjs/helper-api-error,1.8.5,MIT
@webassemblyjs/helper-buffer,1.8.5,MIT
@webassemblyjs/helper-code-frame,1.8.5,MIT
@webassemblyjs/helper-fsm,1.8.5,ISC
@webassemblyjs/helper-module-context,1.8.5,MIT
@webassemblyjs/helper-wasm-bytecode,1.8.5,MIT
@webassemblyjs/helper-wasm-section,1.8.5,MIT
@webassemblyjs/ieee754,1.8.5,MIT
@webassemblyjs/leb128,1.8.5,MIT
@webassemblyjs/utf8,1.8.5,MIT
@webassemblyjs/wasm-edit,1.8.5,MIT
@webassemblyjs/wasm-gen,1.8.5,MIT
@webassemblyjs/wasm-opt,1.8.5,MIT
@webassemblyjs/wasm-parser,1.8.5,MIT
@webassemblyjs/wast-parser,1.8.5,MIT
@webassemblyjs/wast-printer,1.8.5,MIT
@wry/context,0.4.4,MIT
@wry/equality,0.1.9,MIT
@xtuc/ieee754,1.2.0,New BSD
@xtuc/long,4.2.2,Apache 2.0
RedCloth,4.3.2,MIT
abbrev,1.0.9,ISC
accepts,1.3.7,MIT
ace-rails-ap,4.1.2,MIT
acme-client,2.0.5,MIT
acorn,6.3.0,MIT
acorn-walk,6.2.0,MIT
actioncable,6.0.2,MIT
actionmailbox,6.0.2,MIT
actionmailer,6.0.2,MIT
actionpack,6.0.2,MIT
actiontext,6.0.2,MIT
actionview,6.0.2,MIT
activejob,6.0.2,MIT
activemodel,6.0.2,MIT
activerecord,6.0.2,MIT
activerecord-explain-analyze,0.1.0,MIT
activestorage,6.0.2,MIT
activesupport,6.0.2,MIT
acts-as-taggable-on,6.5.0,MIT
addressable,2.7.0,Apache 2.0
aes_key_wrap,1.0.1,MIT
aggregate-error,3.0.1,MIT
ajv,6.11.0,MIT
ajv-errors,1.0.0,MIT
ajv-keywords,3.4.1,MIT
akismet,3.0.0,MIT
ansi-colors,3.2.4,MIT
ansi-regex,2.1.1,MIT
ansi-regex,3.0.0,MIT
